country,entry_date,exit_date,num_of_days
Colombia,2024-03-06,2024-04-18,43
Ecuador,2024-04-18,2024-05-13,25
Peru,2024-05-13,2024-07-02,50
Bolivia,2024-07-02,2024-08-15,44
Brasil,2024-08-15,2024-12-19,126
Ecuador,2025-01-17,2025-02-15,29
Guatemala,2025-02-15,2025-03-08,21
Honduras,2025-03-08,2025-03-17,9
Nicaragua,2025-03-17,2025-04-01,15
El Salvador,2025-04-01,2025-04-16,15
South Africa,2025-04-16,2025-07-14,89
Malawi,2025-07-14,2025-07-30,16
South Africa,2025-07-30,2025-08-03,4
Mozambique,2025-08-03,2025-09-02,30
Eswatini,2025-09-02,2025-09-11,9
South Africa,2025-09-11,2025-09-12,1
Lesotho,2025-09-12,2025-09-16,4
South Africa,2025-09-16,2025-09-25,9
